Comment,True Sentiment
Good product i am very satisfied this bicycle,positive
"Best 👍 cycle, fully satisfied, thank you Flipkart ❤️",positive
Awesome product I loved it 😘🤗,positive
We were contacted by Ms. Shazia for diet and nutrition plan. She listens pateintly to each query and helps in understanding queries. She shared few healthier receipes along with weight loss exercises. Shazia is great as a dietian and would highly recommend her to anyone looking for a diet and health plan.The cycle is robust and comfortable while riding. The service person came within no time to assemble the cycle. I am loving it with my daily ride of 3-5 kms. Their service is amazing and ar...,positive
"Believe me I can't give more stars. But in this price, this is a beast. Too much attractive and beautiful. Super service. Photos can't be uploaded otherwise I have wonderful photos and videos. Review from Gujarat.",positive
Cycle looks more etithic & ride as do more as fitSingle gear with disc brake is valuable one ☺️Thanks for the design & service by urban terrian teamI'm enjoyed for these order,positive
Nice product 👍👍😘,positive
That Was good,positive
A very good bike. Everyone in my neighborhood liked it. My son is very happy with his new bike. I also would like to thank the dietitian Pooja in  Onefit-plus app for her valuable instructions to reduce my weight. She just knows every dynamics to stay fit and healthy through following a diet chart. Her knowledge is superb. I am following her instructions.Thanks for good service by Urban Terrain.,positive
Happy with the purchase. Though there are minor issues here and there but as a whole product it is good. The session provided by Suraj Kumar was well and good.,positive
"Value for money, raiding nearly 20km per day for the past 5days smooth raiding installation done very well",positive
Cycle is amazing. looking good.,positive
"Cycle is very good with best servies provided along with installation.Main cultsport products unique thing is that , it has been provided with 3 month diet plan free . In wich Aishwarya mam helped me with lot with my diet plan and how to improve it . Thanks cultsport thanks flipkart for efficient service 🙏",positive
Fits my bill perfectly and would like to give special thanks to the service team and installation team ⭐⭐⭐⭐⭐,positive
"Really Nice Bicycle. Good Experience, Great customer support from Flipkart and Urban Terrain. Thank You!!",positive
"Excellent product based on price and quality compared to other brands, but warranty is only for 6 months.others providing min 1 year warranty...Overall good one....",positive
After I one week use paddle make noise too much !!!! I suggest  you need a perfect cycle so go market online not trusted,positive
"Best cycle, and value for the money.Training from cult sport  is also included in this, (3 months subscription). The trainer is well communicated (Akshaya).  The  fitness and diet plan will be professionally by the end.Thank you for the team.",positive
Nice bicycle,positive
A vry gud product at minimum amount . So I suggest to all to buy this product at cheapest rate . And enjoy to ride this bicycle 🚲. Thnx,positive
"If you are looking for a MTB for men above 6 feet, this is a nice bicycle. I would surely recommend it. And the best part is that the One fit plus company is always ready to help you out with the problems related to their products and they try to do their best for our best experience.",positive
Super product excellent suspension very comfortable blindly u can buy this 😍Thank you so much flipkart for one day delivery loved u r service 🥳🥳🥳,positive
Bike is awesome...easy to ride..good in budgetService engineer behaviour was good....thank you flipkart and fitplus team . Delivered in time..worth every penny.Also as a complimentary got 3month free dietician subscription.The dietary willtrack our day to day calories regularly..,positive
"Best cycle in this price. Dietician pooja was suggested best diet plan explaining everything and  helping me to improve my health very well.Happy by buying this product. Thank you urban terrain,pooja and virtual trainer suraj kumar was very good and helpful.",positive
"It's been 15 days since I purchased this cycle, it is working fine so far. I am happy 😄",positive
Amezing product Quick dilivery and installed by service person minimum time. Great,positive
Very good,positive
"Overall product is value for money but some issues like seat,brakes abd suspension",positive
"This cycle is awesome, working very smooth.Value for money, must buy.# Brakes need to improve by the mfgr.# Installation and service was nice.# Diet plan support from Cult fit representative is highly appreciable.# Cult fit is Providing good tips for fitness and consumption plan on Cult fit App.# Overall experience is satisfactory. Happy!! Go for it!! 👍👍👌👌",positive
"Hello , it has been a month now that i am using it. This is a nice machine with good ergonomics, design , comfort, light weight and Value for money. I am loving cycling. I have taken one free service also as there was some minor issue which was resolved very quickly. Along with the cycle i got few months online Dietician , Yoga, Exercise and other activity online sessions also. I recommend this cycle to my friends and others viewers here. Hats off to Flipkart , Urban Terrain , Cultsports. Che...",positive
Must Buy ..... Best one in market .... Value for money.,positive
1.First of all the durability is great2.Second the problem i faced is that it is slightly small for 6ft tall persons as the handle is little bit low so i suggest you to go for 29 inch version.3.Next i would suggest that is should come with bell which was not available and i had to purchase from outside4. The good part is the installation is free and service was good5. Product was delivered safely and had no scratches at allI would recommend it as this budget for daily commuters.,positive
"This is very good product, thanks urban tarin",positive
Nice prodect i like product uma saini ji,positive
Excellent looks. I am satisfied with the quality of the product.  The seat cushion could have been better to provide comfort for longer rides,positive
I love it this product value for money.,positive
Cycle is Very good and the colour and body of a cycle looks fantastic i really enjoy this product.Aishwarya she is a diet consultant she explained me about my diet planed very well. Really enjoy this service.,positive
I am happy with this product. Also I have got 3 months subscription of fitplus app and my dietician aishwarya helped me to make good diet plan she explained me very well about diet and also did session with fitness trainer Bhavna mam and she  helped me do some cardio exercises and yoga thanks you mam,positive
Bicycle is very good,positive
Bike is very good...with good built up quality...gear quality could have been much better....and the free service of the dietitian with this product is even more better....talking to a dietitian was really very useful n will be very helpfull if you are healty concious.,positive
Good and value for money,positive
Very good package amazing cycle I'm very very satisfied,positive
"Looking stylish, Build good, logo and brand name not painted it's pasted with sticker, Disk breake wire can be better, installation services is very good on time,  overall value for money",positive
"Beleive me, The best product in this price range. It's literally a beast. I'm writing this after using it for around 1 week. I have also tried it in bad roads but working well. It is also very comfortable for long rides. And the best part is its services is top class. Got installed my cycle within 1 day of delivery. I also got a dietician namely Arpita who helps me in losing some weight. Daily exercise routine and diet has been provided. Overall Brilliant.",positive
Nice productLight weight and have a good qualityLove it,positive
"1) Good product . Good customer support.2) Good time delivering expected. nice fitting service, bicycle is Awesome to drive......3) Fitness programme is good..4) Overall Value for money...5) I Recommended this bicycle , because its very comfortable to me.6) Amazing product.7) Look is very very superb.You can go for it.",positive
Satisfied with the product my experience with the has been good good build quality and easy to maintain amazing product at this price range,positive
Good time delivery as expected .. nice fitting service and allover the fitness program is so good and the dietitian Pooja Tumma the onefit company has provided me the best guidance and under guardian too ....,positive
Very good product and worth for the money. There were lot of follow ups and customer service from start to end. The good part is they are allocating proper  dietitian to us to share the diet plan and workout plans. Dietitian Meena called and shared lot of diet plan and work out plan to follow. It will keep us to work together for a healthier life. Thanks Urban Terrian and Cultsport!,positive
Superb cycleIt's really Good.Smoothly run....,positive
Super quality,positive
Over all looking good. Nice diet consultancy provided by Pooja maim. A very good diet was suggested by her.And cult sport app is very user friendly nice app with good features.,positive
"Look, design, overall good product. I am happy urban terrain cycle...",positive
Super product,positive
This packing is good,positive
This urban terrain cycle is so good and it is value for money and it service also good you talk them to feel free but in some city is take 3 to 4 days and some city 1 to 2 days you make sure to purchase this cycle is so good,positive
Oh I really liked this beast💥it is very interesting cycle I have never seaned in my area.I used so many cycle in my daily routine but this is my best thank u urban terrain for this wounderful experience for me to be a part of this cycle 🚲 thank u .,positive
I loved  it. very impressive,positive
Value for money,positive
"The product is excellent.  It's quality and design is awesome, especially in white colour. Full value for money product.  The technician came for installation was not equipped with proper and quality tools.  His tools were like those of a roadside cycle repair shop.",positive
"Very nice cycle, but u should include accessories like mud guard ,water bottle in this price...The quality of air pump is below average...",positive
Quality product,neutral
Well satisfied of this product and cultsport company is also good and ditician Pooja tumma mam provided best diet chart for good health..thanx all of you cultsport team.,positive
Good 👍,positive
"Good Cycle, installation was done on time, service they provide is very good, they are very helpful, cult sports provided me free guide and diet chart,the dietician that help me on call was Arpita Ghosh, she was very helpful and provided me with diet plan thanks",positive
This cycle looks stunning in all black and white - orange branding. Rolling smoothly in urban and off roads. Breaks are performing good. All an all it is a nice cycle with an amazing price tag. Installation was done on the next day of delivery.The cycle comes with diet and fitness training sessions.Diet coach Manisha mam was good and polite throughout the session.The diet plan provided is according to my daily requirements.Also got the daily workout and cardio exercises goals. Thanks for the...,positive
"Cycle is very nice, i am very Happy.",positive
Wonderful product. Cycle is smooth.,positive
"Friends, this company Urban Terrain had become so engrossed in making Bicycles, that's why it did not consider necessary to grease the ball-bearing works in the Bicycle. Results, if you buy this cycle, then you will know after driving not much but only 25 kilometres. And you will start spending out slowly for repairing.I have already spent. In the freewheel and in the pedal of the Bicycle, Let's see what else will have to be done going forward. I feel that I got stuck by buying this Urban T...",positive
I am glad that I made the decision of consulting for diet,positive
Cycle is too good and price is so aggressive but the breaks are not very good. It is value for money cycle..thank you for the deal🤝,neutral
"The cycle is too good. Decent look, comfortable riding, better price, perfect one.",positive
Superb,positive
Cycle so very good but cycle pump demage pl change and new cycle pump issue quickly,positive
Value for money.I am giving this review after travelling 100 km in a day. I'm not facing any major issues. This is best in this price. More features in affordable price.Customer support team is very good for before and after purchase. They are given immediate and proper response. Hats off to the team.My dietician Meena is very good and attentive. She made unique diet plan and continuously follow up with me. I am also follow her diet and tips given to me.Thanks to Flipkart within the time .,positive
My son is happy. Cycle quality is 👍 value for money.,positive
"Seat is not good ...stand is properly not good ,and front wheel is full struking  ..and full tide and I adjust but not use ....",negative
Very good cycle...overall condition is good.I am satisfied with this cycle...My son loved this cycle....,positive
Very good cycle in this price I loved it😍😍But delivery is very bad ..I got this later from given time,positive
Value for money,positive
Very good 👍,positive
Very good 👍👍👍👍👍👍 and super I like this cycle value for money and,positive
I like it 👌,positive
Very nice,positive
Cultsport provided me a cardio and strength training session. Had a great session with trainer Anupama Dutta. Thank you.,positive
Very good service and quality I'm very impressed... You also trust on the seller,positive
Nice and very useful 👍,positive
The Product is as it is promised. Delivery service was too Good. Delivered on door setup. Value for money. Just one thing please add more color variations for this product. The Best part is you will get your personal dietician with the product. They will call you and understand your needs and suggest according it. Rajita ma'am is my dietician and very professional in her work. She is very helpfull. Urban Terrain's services is very good. They will arrange  technician for installations.Pers...,positive
Quality very good I'm so happy this cycle,positive
"Good experience. Looks and design are perfect. A proper dietician is assigned for the first 3 months. She explained the role of diet to stay fit. Basic nutrients, diet plan and excercises were properly explained. If you are looking for cycling, dieting this is perfect choice.",positive
I bought this cycle on Dec end. i did the installation by myself.I really love riding this bicycle everyday. The only issue that I faced initially is with its break. My front tire brake pad is always making slight contact with the disc. So it started causing some sound. But that too got ridden after few days of usage. And the dietician support in cult sport app which comes along with this purchase is also very good. Finally it's worth the price,positive
This bicyle is truly amazing... Best quality bicycle in this price..!,positive
This cycle offers a lot of features in an affordable price. The build quality is great. Front suspension is also fine. I didn't face any major issue till now. There were some minor issues with the disc brake and handle alignment. The dietician arpita ghos  is also very good and attentive. She listened all the query with patience and offered solution according to the needs. Overall it is a great experience. I loved the cycle very much.,positive
Thanks to flipkart and urban terrain team,positive
Amaging mtb cycle. Value for money. Best cycle for daily use. But there some part are losseBut overall very good cycle. So i sageast you can buy this cycle.,positive
Nice and very smooth ..And best cooler .Thnx flipkart..,positive
Good product at this range must buy,positive
Good 👍,positive
"It's very attractive, smooth in ridding, most beautiful cycle in the segment...",positive
Best cycle under this valueFlipkart thanks for good service,positive
"Riding experience is very smooth, really this product is value for money in this range.",positive
"Bought this cycle a week age faced no issue about.Cycle frame build quality 👌❤️, i have assembled it myself, those who r thinking to buy this cycle go for it u wont regret and if u face any problem in ur cycle contact cultsports.Cultsports customer care team is very helpful, i got 3 month membership of dietician under(Manisha Dey), also cardio and strengt training from(Suraj Kumar). I would specially thanks Mr Samuel Customer executive of Cultsports❤️",positive
Excellent bicycles to say in my words .,positive
This is best in segment 👌👌👌I like the product,positive
I trust only on urban terran❣️ lovely service by cultsport team much love 🥂❣️,positive
Wonderful,positive
Awesome built quilt ….It’s look like premium class .,positive
Bicycle 🚲 is good but air pump quality is very poorAir pump is useless not for bicycle or Balloons,negative
Product is good.... Overall good but bike tyar quality very poorThat's not a big issue... But it's totally fun for ride,positive
Product is good. Looks stylish.,positive
Gd experience ☺️,positive
Great choice,positive
"If you ride this cycle, every one will look at you... Yes it's eye catching beautiful 😍❤️ bycycle....",positive
Very gud cycle value for money,positive
Superb 🎉,positive
Good and value for money,positive
"Good bicycle, also thankyou to Vishal from cult sport trainer. He showed some really good excercise, nicely explained.",positive
Product is great... Value for money... Installation was done without any hassle.. services are also great even after the delivery.. dietitian consultant as well as the Dr consultation was really good and helps a lot,positive
Good cycle,positive
"The Product is amazing. I am using from Three months. Really it is very useful. Also this is not to forget to encourage the Mam Arpita. Mam is very energetic to encourage me to Make me healthy and fit. She gave me diet plan which is really very useful for me. Thank you for good product, service and diet plan",positive
I like it ❣️,positive
It's Superb In This Price Range. Company Service Is Also Very Good. I Am Very Satisfied With This Cycle. Definitely You Can Go For It.,positive
"Cycle is looking wise no 1Cycle is quality wise no 1And special mention for vimlesh Verma ,who provide me good diat plan . Thanks 👍",positive
"I am very happy with the design, price of the cycle and service by Flipkart is very Good,",positive
Best cycle 💯😊✅✅✅,positive
great product,positive
This is amazing policy by one fit plus. With this product i got free diet plan and i consult with aishwarya ma'm. She was very polite and explain everything about my diet. She cleared my doubt. Very helpful. I'm very impressed by this company and there policy.,positive
Excellent buy,positive
It's look is very beast I like it.... 😍😍😍,positive
Good product,positive
Product is good and value for money.,positive
"Very Good quality cycle, good service by UT for installation. Worth  of money",positive
"This cycle look is osm . Wherever I go with this cycle people get attracted with this cycle . Overall this cycle is very good , I loved it. After buying this cycle you also get advantage of one fit plus service .In that you get the dietition consultation , doctor consultation , personal trainer  . Dietition Vimlesh has created my diet plan to make me fit , which is very helpful for me. Thanks.",positive
Built quality was excellentCycle comes with 85% installation so easy to do installationTyre are tuf for rougf roadsAddon benefits 3 month diet plan,positive
Such a nice product. Value for money 💰.delivery and installation is within time and great.Fittness program explained by dietitian pooja was great. Cardiac session with ritu mam was superb. Due to this my fitness will improve.,positive
Quality is very good 👍Design awesome 😎Looking very beautiful 🤩Rate value for money 💰Diss break good 😊Tyre good 👍😊All most very awesome 👍I am really so happy 🥰🥰🥰,positive
Cycle is Out Standing. Nice For Offroading  😎 . Thanks To Flipkart For Safe And Fast Delivery 😁❤.,positive
Tq,neutral
Very Nice product 👍👍Must buy 👍,positive
Very easy to installMudguard are availableBuilt quality goodOverall best product in this price must buy,positive
Good product.. I am 5'8 ft. And this cycle is perfect for my height..I will recommend this to all...Thanks flipkart♥♥ and Urban Terrain ♥♥,positive
Look fantastic,positive
Nice product at their price range,positive
Good cycle my star 5*,positive
CYCLE IS VERY GOOD BUT FIRST TIME EXPERINCE SO HARD,negative
Worth of money. Good quality and design.,positive
My dietician Keerthana update my daily diet schedule it's was very good for my health I followed it.. 😊,positive
Thanks for your service and it's installed properly,positive
Good,positive
Very nice I like this 👍,positive
Nice bicycle 👍👍👍👍👍👍👍👍👍👍👍👐👍👍👐👐👐👐👐👐👐👐👐👐👐👐👐👐👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👐👐👐👐👐👐👐👐👐👐👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,positive
It is very good product but it has too my difficulty to installation but it is very very good product,positive
Awesome looks and design 👌...it's quality good...very comfortable cyclethanks urban terrain...,positive
Nice products,positive
"Very Good Product.Disc brakes, Tyres are good.Overall Qulity of The Product is Superb.Comfortable and joyful ride.Got 3 months free access to onefitplus app where Diet plan & tracking is available to us with Dietician consultation.I had spoke to dietician and she has explained well about the balanced diet plan and schedule to achieve our goals. Thanks to her and team.",positive
Very nice product 👍👍The quality of the cycle is awesome.Just go for it...,positive
"Product is really good. I would recommend every one to buy it and also health specialist is really good with her work,her behaviour and advises are the best.",positive
Very very good product 👍 highly recommend.,positive
Excellent cycleValue for money,positive
I recommend this cycle bcoz it's very comfortable to me,positive
"Perfect cycle , loved it. ❤️",positive
VERY NICE CYCLE 😊,positive
Good for Urban Use.,positive
Good products 👌👌,positive
Very nice product this cycle good customer service M's Surya gave the best advice for health,positive
Good cycle in price range,positive
Nice product and build quality... My daughter loves very much,positive
Cycle is very good.,positive
Very good cccle,positive
The cycle is excellent,positive
"It's a very good bicycle for a price of 6k.Wonderful looks, Decent quality of disc brakes (both front and rear), Front suspension, Adjustable seat post, front and rear reflectors, spoke reflectors. But I didn't get the quick release in the front wheel. Everything else is super fine, completely value for money. 👍👍",positive
"I love the product,look wise design and it's colour is awesome ☺️Thank you Flipkart for this wonderful product",positive
Nice cycle 👏👏🥰🥰🥰,positive
Loved it!,positive
I'm very satisfied with this bicycle. Cycle looks very nice. They also give me 3 months diet plan from Cultsport with this product. I am very happy with the dietician Arpita Ghosh. she helped for my diet plan. So Thanks to her and the cultsport for this. I definitely recommend this.,positive
Very helpful dietitian,positive
Everything is good and u will love its look and good for exercise of legs..cheers🥳,positive
Really great product at this price.  I am happy.  Value for money.  Performance of the cycle is awesome.  Thanks Flipkart to make it possible.,positive
Best cycle in budget,positive
This product is amazing ❤❤And value for money ❤👌,positive
Product is awesome and Works also good  i like it . regarding Sandhya Dietician explained 3monts free diete plan and valuable information given.,positive
Worth buying with this cost and quality design awesome 😊😊,positive
Overall Good product. But Both discs are a little wobbly which makes noise when not properly adjusted. Also recently neck is making some loose sound. But its an amazing headturner and jaw dropper. Overall Im satisfied with the purchase👍😊,positive
Nice product ..recieved on time for best price and installation has been done as promised...👍👌value for money 👏,positive
Nice one....thanks you flipkart,positive
"Awesome experience with this cycle and best price range. Especially thanks to dietitian Pooja Jee for suggest me special diet plan that was perfect for me and also improve my health well, thank Urben Terrain and  Pooja Jee.",positive
"I am giving this review after using it for three Months. It's a Best Cycle Below 10k, This cycle offers lot of features in low price like Dual disk break, front Suspension and many more. Dietician Vimlesh is very talented and attentive, she gives me a lots of Diet tips.Overall it is a Nice experience, Thanks to Urban Terrain and Dietician Vimlesh Verma",positive
It's working with good condition and I am satisfied with the product and it's value for money,positive
"Only 1 word for this cycle,Wonderful...",neutral
"Amazing cycle, best quality ride, very smooth and breakes are good quality.. everything is best. Also good quality air pump provided with cycle..worth the money. Thanks to UT, Flipkart and Abhishek sir team and technician..❤️🙏",positive
Very very nice,positive
My fitness trainer Bhavna Rupani did a great job of understanding the way I workout and planning. She trained me how to start slowly and build up gradually and plenty of time to warm up and cool down.She was a great listener. I really enjoyed the session.,positive
"Very nice bycycle, the quality of cycle is v.good and the team of urban terrin is very supportive overall nice and value for money product.",positive
"This Urban Terrain cycle is better than all other brands looks wise awesome I really enjoy riding it.My family, friends and all neighbours liked it.It has sporty looking nylon tyres, durable and resistance enough for stunts.Brand's Customer care, Technicians are very helpful & polite.It has a app for ride tracking and all other fitness related things & 1 year cultfitess subscribtion is also freeValue for money & Overall a good purchase",positive
Good Bike,positive
The Best MtB Cycle Real FeedbackThanks To Flipkart And Fit plus,positive
Value for money.Excellent quality,positive
I love too buy urban terrain bolt ut5001s27.nd specialy thankx too my dietician Rohini mam .they have lots of query share with me regarding my daily touteen nd explore the perfect diet plan for me .thankyou Rohini mam.,positive
"Good cycle, Super comfort, Awesome look, worthy price, service also timely provided, overall Excellent product. I suggesting to buy Thanks to Urban Terrain.",positive
Nice,positive
Merin good job.....,positive
Perfect cycle,positive
"I have been using it since 2 days,awesome cycle,value for money,sporty look.",neutral
Superb product!,positive
Nice Mtb,positive
Super,positive
Realy good cycle and worth of money,positive
Nice bicycle 👀✨,positive
Cycle is amazing,positive
Cycle is overall good anyone can go for it ❤️,positive
Good,positive
"I am very impress, this cycle is very comfort riding position and quick service so i thanks urban turren 👍👍🥰🥰🥰",positive
Value for money...,positive
Product quality is very cheap light weight. Metal strength is low,positive
This cycle is compliant front disc brake is not working some problem and Installation is not good,neutral
"I enjoyed my sessions with my Dietitian Shazia a lot and really appreciate the knowledge she has and the help she gave me to look at things in a more healthy way. She also made me realize that meals don’t need to be complicated and difficult, it really can be fast and easy. Thanks so much for her help.”Thanks a lot Shazia ji.",positive
Good product at reasonable price.,positive
Best value in this price and nice bicycle,positive
Ok,positive
Nice 👍🙂❤️,positive
Cycle was good but the gear was tid and the mud guard was not fitting properly but overall cycle is good and I liked it,positive
"Services are very good, a diet consultant are provided by brand which is nice thing and they are really good and their diet plans are nice and impressive .. thanks",positive
Op look and best quality. but front disc brake I am dosnote Satisfied me company please properly work. but cycle is good❤,positive
"Nice looking MTB. But colour paint not much good, Easily Scratch and colour faded or damage. Riding Experience not much good, When you riding Feeling so much Pressure on your thigh with leg. And easily Exhausted and Tired.  Basically no smooth riding experience.Thanks Dietician Rohini, She suggest me good diet chart.Also Thanks Fitnes trainer Ritu, She suggest me some good exercise for reducing Belly fat.",negative
It good,positive
its good,positive
Superb,positive
"Good cycle with front suspension and disc brakes in front and rear, at this price.Scratches were noticed during assembly. Not sure if this was due to mishandling in delivery or inadvertently done by the assembling technician. Cap for front tyre air filling point was missing.Overall a good cycle at this price.",positive
Value for money,positive
"Writing the review after using for more than 5 months . Cycle is working smooth af just have to fix it properly, the break quality could be better or otherwise it's all fine .",positive
Product is good as compared to th price of the product . Cost efficient .but seats should be a bit comfortable if possible ..Overall satisfied,positive
"UPDATE: Now The team sent me a brand-new tube which is so grateful Thank you so muchIt's been 6 days and I have been riding it for 3 days today while Pumping my rear wheel, a tube pops out of the rim and after a few minutes, it bursts overall I'm using my hand pump and I'm damn sure I haven't over pressuring it.",positive
The bicycle is good and value for money,positive
Effort is more compared to some other cycles but design and value for money.. Nice service,positive
The build quality and the looks are top notch and sturdy! The brakes were the most excellent thingValue for moneyBut the only downfall is loose seat,positive
Product was good but some parts are missing like mudguard part and seat boult...etc and also inner packing was not good that's why more formed sacrcthes in bycle... that's not good... otherwise this is good.,neutral
Overall cycle is good but the Bolt has been detached and went from the cycle pedal. Anyways the cycle is good 👍,positive
Of course it is a good looking cycle but installation should be free. And value for money. I am happy with this products. Tyre quality is also very poor bcz within three months tyre has damage.,positive
So beautiful so. Eligent just looking like wow,positive
Good cycle,positive
Good product.... But packing should be improvised.,positive
Value for money..Best product.,positive
Nice,positive
Worthy product,positive
"Really good product, value for money. I feel heavy when ride it.",positive
"Writing the review just after few days of use. Looks like worth buying. Will review again after couple of months.The diet plan along with this product is a catchy one. My dietitian Aishwarya explained the diet plan well.Bhavna, the workout instructor has done a pretty good job by explaining and demonstrating the exercises that I need to carry out daily basis. Looking forward to follow them and lose some weight. Will review again.",positive
Seat is small and tight u cant feel comfortable if u drive 10-15kmsContinuous u'll definitely regret to sit on chair after driveAnd chain set is making noise 'chir-chir' 'kt -kt'Tyre quality is goodBraking is goodPaint is goodSeat  should be changeWire quality of brakes is badPlastic parts like reflector and mud guard is okay okayThis is personal opinion of using cycle for 1 weekI drove it minimum 8-15kms/day,positive
GreatSatisfied...,neutral
Lovely As expected. Good quality hope it will last for  long.,positive
Using this cycle since April 2022. It's going fine and till now I havent faced any problem.,positive
Nice for money 💰,positive
This is looking good you can buy and trust on this product blindly if you get this near about 6K,positive
Average at this price range,neutral
It is quality,neutral
Product is good,positive
Thanks,positive
All thing are good but tyre quality is too bad,negative
Good product.  Very smooth and quality is good on this price points,positive
